Neighborhood,1872,1875,1880,1882,1885,1890,1892,1893,1898,1900,1904,1905,1906,1908,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1934,1935,1936,1937,1938,1939,1940,1941,1942,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Veenker,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,294000.0,195500.0,195500.0,165000.0,194000.0,385000.0,385000.0,385000.0,162500.0,162500.0,162500.0,324000.0,324000.0,324000.0,324000.0,324000.0,324000.0,324000.0,324000.0,324000.0,270000.0,270000.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0,245500.0
BrkSide,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,127000.0,167500.0,153575.0,153575.0,153575.0,153575.0,153575.0,167750.0,130000.0,130000.0,180500.0,136500.0,89000.0,113000.0,181500.0,104750.0,148500.0,100300.0,68500.0,149000.0,126000.0,121200.0,116250.0,114500.0,114500.0,92500.0,111125.0,134900.0,130233.33333333333,130233.33333333333,101333.33333333333,115500.0,80450.0,80450.0,80450.0,119750.0,127000.0,72500.0,110000.0,116500.0,116500.0,116500.0,116500.0,116500.0,116500.0,116500.0,116500.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0
NPkVill,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,143812.5,143812.5,133750.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0,147250.0
NridgHt,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,277833.3333333333,294690.0,265933.5,322196.06666666665,314808.3333333333,430149.77777777775,373376.0,373376.0
NoRidge,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,302000.0,260000.0,293250.0,303666.6666666667,356812.5,394666.6666666667,371188.0,348000.0,291666.6666666667,320056.0,249000.0,466500.0,466500.0,466500.0,466500.0,466500.0,466500.0,466500.0,466500.0,466500.0,466500.0
NWAmes,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,143000.0,173000.0,173000.0,173000.0,179700.0,194143.75,146000.0,179500.0,170000.0,170662.5,166875.0,188200.0,166700.0,191700.5,192488.88888888888,191250.0,189000.0,218333.33333333334,212133.33333333334,190250.0,190250.0,190250.0,215000.0,215000.0,222333.33333333334,222333.33333333334,213250.0,213250.0,213250.0,213250.0,213250.0,213250.0,213250.0,213250.0,213250.0,213250.0,227000.0,227000.0,227000.0,227000.0,227000.0,227000.0,227000.0,227000.0,227000.0,227000.0,227000.0,227000.0
OldTown,122000.0,200619.75,200619.75,168000.0,111250.0,142200.0,291250.0,325000.0,106000.0,108178.57142857143,157500.0,163000.0,110118.54545454546,110118.54545454546,110118.54545454546,104000.0,104000.0,145500.0,145500.0,132060.0,128250.0,129500.0,128440.0,128440.0,128440.0,124240.0,112500.0,112500.0,110750.0,125750.0,127966.66666666667,89750.0,133450.0,130000.0,94666.66666666667,129900.0,170000.0,170000.0,170000.0,170000.0,89471.0,91300.0,119900.0,114000.0,82500.0,95250.0,95250.0,135000.0,110000.0,133875.0,124500.0,124500.0,124500.0,124500.0,93000.0,112350.0,125587.5,100100.0,131100.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
Gilbert,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,169000.0,141000.0,141000.0,141000.0,145000.0,145000.0,145000.0,145000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,180500.0,180500.0,160000.0,171633.33333333334,176200.0,184250.0,177600.0,175000.0,186800.0,188350.0,202333.33333333334,195240.0,222500.0,195950.0,189000.0,200142.85714285713,201658.88888888888,231545.2857142857,179053.0,179053.0,179053.0,179053.0
Somerst,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,239000.0,189133.33333333334,189133.33333333334,180800.0,226000.0,240166.66666666666,240166.66666666666,226100.0,219896.0,224747.22222222222,244134.42857142858,258000.2857142857,233353.33333333334,233353.33333333334
